,As of,Rank,Title,Type,Days In Top 10
680,2020-06-08,1,13 Reasons Why,TV Show,3
681,2020-06-08,2,Space Force,TV Show,10
684,2020-06-08,5,Jeffrey Epstein: Filthy Rich,TV Show,12
685,2020-06-08,6,Queer Eye,TV Show,2
686,2020-06-08,7,Fuller House,TV Show,6
689,2020-06-08,10,Avatar: The Last Airbender,TV Show,21
690,2020-06-09,1,13 Reasons Why,TV Show,4
692,2020-06-09,3,Space Force,TV Show,11
693,2020-06-09,4,Jeffrey Epstein: Filthy Rich,TV Show,13
694,2020-06-09,5,Queer Eye,TV Show,3
695,2020-06-09,6,Fuller House,TV Show,7
698,2020-06-09,9,Avatar: The Last Airbender,TV Show,22
699,2020-06-09,10,Queen of the South,TV Show,1
700,2020-06-10,1,13 Reasons Why,TV Show,5
702,2020-06-10,3,Space Force,TV Show,12
703,2020-06-10,4,Jeffrey Epstein: Filthy Rich,TV Show,14
704,2020-06-10,5,Queer Eye,TV Show,4
705,2020-06-10,6,Fuller House,TV Show,8
708,2020-06-10,9,Avatar: The Last Airbender,TV Show,23
709,2020-06-10,10,Queen of the South,TV Show,2
710,2020-06-11,1,13 Reasons Why,TV Show,6
712,2020-06-11,3,Space Force,TV Show,13
713,2020-06-11,4,Jeffrey Epstein: Filthy Rich,TV Show,15
714,2020-06-11,5,Queer Eye,TV Show,5
715,2020-06-11,6,Fuller House,TV Show,9
716,2020-06-11,7,Avatar: The Last Airbender,TV Show,24
718,2020-06-11,9,Queen of the South,TV Show,3
720,2020-06-12,1,13 Reasons Why,TV Show,7
722,2020-06-12,3,Space Force,TV Show,14
723,2020-06-12,4,Jeffrey Epstein: Filthy Rich,TV Show,16
724,2020-06-12,5,Queer Eye,TV Show,6
725,2020-06-12,6,Avatar: The Last Airbender,TV Show,25
726,2020-06-12,7,Fuller House,TV Show,10
728,2020-06-12,9,Queen of the South,TV Show,4
729,2020-06-12,10,Hannibal,TV Show,1
731,2020-06-13,2,13 Reasons Why,TV Show,8
733,2020-06-13,4,Space Force,TV Show,15
734,2020-06-13,5,Pok̩mon Journeys: The Series,TV Show,1
735,2020-06-13,6,F is for Family,TV Show,1
736,2020-06-13,7,Jeffrey Epstein: Filthy Rich,TV Show,17
737,2020-06-13,8,Avatar: The Last Airbender,TV Show,26
738,2020-06-13,9,Queer Eye,TV Show,7
739,2020-06-13,10,Fuller House,TV Show,11
742,2020-06-14,3,13 Reasons Why,TV Show,9
743,2020-06-14,4,Alexa & Katie,TV Show,1
744,2020-06-14,5,Space Force,TV Show,16
745,2020-06-14,6,F is for Family,TV Show,2
746,2020-06-14,7,Pok̩mon Journeys: The Series,TV Show,2
747,2020-06-14,8,Jeffrey Epstein: Filthy Rich,TV Show,18
748,2020-06-14,9,Avatar: The Last Airbender,TV Show,27
749,2020-06-14,10,Queer Eye,TV Show,8
752,2020-06-15,3,13 Reasons Why,TV Show,10
753,2020-06-15,4,Alexa & Katie,TV Show,2
754,2020-06-15,5,Space Force,TV Show,17
755,2020-06-15,6,F is for Family,TV Show,3
756,2020-06-15,7,Pok̩mon Journeys: The Series,TV Show,3
757,2020-06-15,8,Jeffrey Epstein: Filthy Rich,TV Show,19
758,2020-06-15,9,Avatar: The Last Airbender,TV Show,28
759,2020-06-15,10,Queer Eye,TV Show,9
761,2020-06-16,2,13 Reasons Why,TV Show,11
763,2020-06-16,4,Alexa & Katie,TV Show,3
764,2020-06-16,5,Space Force,TV Show,18
765,2020-06-16,6,F is for Family,TV Show,4
766,2020-06-16,7,Pok̩mon Journeys: The Series,TV Show,4
767,2020-06-16,8,Avatar: The Last Airbender,TV Show,29
768,2020-06-16,9,Jeffrey Epstein: Filthy Rich,TV Show,20
769,2020-06-16,10,Fuller House,TV Show,12
771,2020-06-17,2,13 Reasons Why,TV Show,12
